indice,fase,repeat,sample,regression
0,replay,65.88,65.88,65.88
1,replay,67.94,67.94,67.94
2,replay,65.39,65.39,65.39
3,replay,67.39,67.39,67.39
4,replay,68.44,68.44,68.44
5,replay,64.62,64.62,64.62
6,replay,65.45,65.45,65.45
7,replay,64.64,64.64,64.64
8,replay,57.19,57.19,57.19
9,replay,55.20,55.20,55.20
10,replay,52.35,52.35,52.35
11,replay,48.39,48.39,48.39
12,replay,48.16,48.16,48.16
13,replay,47.56,47.56,47.56
14,replay,47.54,47.54,47.54
15,replay,53.16,53.16,53.16
16,replay,45.67,45.67,45.67
17,replay,47.20,47.20,47.20
18,replay,45.99,45.99,45.99
19,replay,44.29,44.29,44.29
20,replay,42.35,42.35,42.35
21,replay,44.44,44.44,44.44
22,replay,47.44,47.44,47.44
23,replay,41.11,41.11,41.11
24,replay,39.64,39.64,39.64
25,replay,42.18,42.18,42.18
26,replay,37.35,37.35,37.35
27,replay,29.58,29.58,29.58
28,replay,30.10,30.10,30.10
29,replay,25.56,25.56,25.56
30,replay,25.06,25.06,25.06
31,replay,25.55,25.55,25.55
32,replay,22.82,22.82,22.82
33,replay,26.13,26.13,26.13
34,replay,26.98,26.98,26.98
35,replay,24.48,24.48,24.48
36,replay,26.84,26.84,26.84
37,replay,27.45,27.45,27.45
38,replay,22.82,22.82,22.82
39,replay,38.47,38.47,38.47
40,replay,38.17,38.17,38.17
41,replay,28.36,28.36,28.36
42,replay,31.14,31.14,31.14
43,replay,39.57,39.57,39.57
44,replay,41.96,41.96,41.96
45,replay,39.79,39.79,39.79
46,replay,37.97,37.97,37.97
47,replay,34.40,34.40,34.40
48,replay,29.87,29.87,29.87
49,replay,34.60,34.60,34.60
50,replay,38.87,38.87,38.87
51,replay,36.32,36.32,36.32
52,replay,39.11,39.11,39.11
53,replay,37.66,37.66,37.66
54,replay,35.53,35.53,35.53
55,replay,37.93,37.93,37.93
56,replay,45.94,45.94,45.94
57,replay,48.22,48.22,48.22
58,replay,47.04,47.04,47.04
59,replay,41.11,41.11,41.11
60,replay,38.34,38.34,38.34
61,replay,33.41,33.41,33.41
62,replay,27.57,27.57,27.57
63,replay,35.63,35.63,35.63
64,replay,39.74,39.74,39.74
65,replay,35.61,35.61,35.61
66,replay,38.59,38.59,38.59
67,replay,36.34,36.34,36.34
68,replay,34.41,34.41,34.41
69,replay,35.46,35.46,35.46
70,replay,34.29,34.29,34.29
71,replay,36.65,36.65,36.65
72,replay,35.55,35.55,35.55
73,replay,35.85,35.85,35.85
74,replay,37.27,37.27,37.27
75,replay,43.14,43.14,43.14
76,replay,42.15,42.15,42.15
77,replay,41.32,41.32,41.32
78,replay,31.72,31.72,31.72
79,replay,24.09,24.09,24.09
80,replay,22.91,22.91,22.91
81,replay,32.26,32.26,32.26
82,replay,32.11,32.11,32.11
83,replay,24.99,24.99,24.99
84,replay,35.55,35.55,35.55
85,replay,46.55,46.55,46.55
86,replay,60.02,60.02,60.02
87,replay,45.36,45.36,45.36
88,replay,44.05,44.05,44.05
89,replay,44.28,44.28,44.28
90,replay,43.27,43.27,43.27
91,replay,43.31,43.31,43.31
92,replay,43.28,43.28,43.28
93,replay,48.53,48.53,48.53
94,replay,54.56,54.56,54.56
95,replay,62.91,62.91,62.91
96,replay,65.42,65.42,65.42
97,replay,66.35,66.35,66.35
98,replay,69.95,69.95,69.95
99,replay,71.28,71.28,71.28
100,extensao,,,
101,extensao,,,
102,extensao,,,
103,extensao,,,
104,extensao,,,
105,extensao,,,
106,extensao,,,
107,extensao,,,
108,extensao,,,
109,extensao,,,
110,extensao,,,
111,extensao,,,
112,extensao,,,
113,extensao,,,
114,extensao,,,
115,extensao,,,
116,extensao,,,
117,extensao,,,
118,extensao,,,
119,extensao,,,
120,extensao,,,
121,extensao,,,
122,extensao,,,
123,extensao,,,
124,extensao,,,
125,extensao,,,
126,extensao,,,
127,extensao,,,
128,extensao,,,
129,extensao,,,
130,extensao,,,
131,extensao,,,
132,extensao,,,
133,extensao,,,
134,extensao,,,
135,extensao,,,
136,extensao,,,
137,extensao,,,
138,extensao,,,
139,extensao,,,
140,extensao,,,
141,extensao,,,
142,extensao,,,
143,extensao,,,
144,extensao,,,
145,extensao,,,
146,extensao,,,
147,extensao,,,
148,extensao,,,
149,extensao,,,
150,extensao,,,
151,extensao,,,
152,extensao,,,
153,extensao,,,
154,extensao,,,
155,extensao,,,
156,extensao,,,
157,extensao,,,
158,extensao,,,
159,extensao,,,
160,extensao,,,
161,extensao,,,
162,extensao,,,
163,extensao,,,
164,extensao,,,
165,extensao,,,
166,extensao,,,
167,extensao,,,
168,extensao,,,
169,extensao,,,
170,extensao,,,
171,extensao,,,
172,extensao,,,
173,extensao,,,
174,extensao,,,
175,extensao,,,
176,extensao,,,
177,extensao,,,
178,extensao,,,
179,extensao,,,
180,extensao,,,
181,extensao,,,
182,extensao,,,
183,extensao,,,
184,extensao,,,
185,extensao,,,
186,extensao,,,
187,extensao,,,
188,extensao,,,
189,extensao,,,
190,extensao,,,
191,extensao,,,
192,extensao,,,
193,extensao,,,
194,extensao,,,
195,extensao,,,
196,extensao,,,
197,extensao,,,
198,extensao,,,
199,extensao,,,
