indice,fase,repeat,sample,regression
0,replay,431.187,431.187,431.187
1,replay,328.766,328.766,328.766
2,replay,328.764,328.764,328.764
3,replay,328.769,328.769,328.769
4,replay,328.764,328.764,328.764
5,replay,328.784,328.784,328.784
6,replay,328.767,328.767,328.767
7,replay,328.793,328.793,328.793
8,replay,328.793,328.793,328.793
9,replay,300.990,300.990,300.990
10,replay,328.783,328.783,328.783
11,replay,328.791,328.791,328.791
12,replay,24.385,24.385,24.385
13,replay,24.387,24.387,24.387
14,replay,24.389,24.389,24.389
15,replay,24.390,24.390,24.390
16,replay,125.344,125.344,125.344
17,replay,24.393,24.393,24.393
18,replay,24.396,24.396,24.396
19,replay,24.397,24.397,24.397
20,replay,125.351,125.351,125.351
21,replay,125.352,125.352,125.352
22,replay,125.354,125.354,125.354
23,replay,89.287,89.287,89.287
24,replay,89.300,89.300,89.300
25,replay,328.769,328.769,328.769
26,replay,328.794,328.794,328.794
27,replay,300.992,300.992,300.992
28,replay,328.790,328.790,328.790
29,replay,90.008,90.008,90.008
30,replay,48.475,48.475,48.475
31,replay,328.771,328.771,328.771
32,replay,300.994,300.994,300.994
33,replay,328.765,328.765,328.765
34,replay,79.280,79.280,79.280
35,replay,328.795,328.795,328.795
36,replay,328.770,328.770,328.770
37,replay,328.779,328.779,328.779
38,replay,328.793,328.793,328.793
39,replay,328.787,328.787,328.787
40,replay,89.305,89.305,89.305
41,replay,328.782,328.782,328.782
42,replay,328.790,328.790,328.790
43,replay,125.355,125.355,125.355
44,replay,125.356,125.356,125.356
45,replay,125.358,125.358,125.358
46,replay,125.360,125.360,125.360
47,replay,328.766,328.766,328.766
48,replay,125.363,125.363,125.363
49,replay,328.776,328.776,328.776
50,replay,125.366,125.366,125.366
51,replay,125.368,125.368,125.368
52,replay,24.398,24.398,24.398
53,replay,125.371,125.371,125.371
54,replay,79.241,79.241,79.241
55,replay,89.575,89.575,89.575
56,replay,396.436,396.436,396.436
57,replay,89.403,89.403,89.403
58,replay,328.773,328.773,328.773
59,replay,328.791,328.791,328.791
60,replay,79.616,79.616,79.616
61,replay,328.786,328.786,328.786
62,replay,328.774,328.774,328.774
63,replay,328.772,328.772,328.772
64,replay,89.032,89.032,89.032
65,replay,0.014,0.014,0.014
66,replay,24.429,24.429,24.429
67,replay,328.787,328.787,328.787
68,replay,125.378,125.378,125.378
69,replay,301.000,301.000,301.000
70,replay,24.436,24.436,24.436
71,replay,24.438,24.438,24.438
72,replay,89.204,89.204,89.204
73,replay,24.483,24.483,24.483
74,replay,125.387,125.387,125.387
75,replay,24.616,24.616,24.616
76,replay,328.776,328.776,328.776
77,replay,125.392,125.392,125.392
78,replay,328.770,328.770,328.770
79,replay,0.015,0.015,0.015
80,replay,328.792,328.792,328.792
81,replay,328.776,328.776,328.776
82,replay,79.617,79.617,79.617
83,replay,328.787,328.787,328.787
84,replay,89.405,89.405,89.405
85,replay,328.768,328.768,328.768
86,replay,328.776,328.776,328.776
87,replay,328.767,328.767,328.767
88,replay,328.768,328.768,328.768
89,replay,328.780,328.780,328.780
90,replay,328.791,328.791,328.791
91,replay,328.794,328.794,328.794
92,replay,328.771,328.771,328.771
93,replay,328.765,328.765,328.765
94,replay,301.005,301.005,301.005
95,replay,328.790,328.790,328.790
96,replay,125.327,125.327,125.327
97,replay,301.006,301.006,301.006
98,replay,328.777,328.777,328.777
99,replay,48.487,48.487,48.487
100,extensao,,,
101,extensao,,,
102,extensao,,,
103,extensao,,,
104,extensao,,,
105,extensao,,,
106,extensao,,,
107,extensao,,,
108,extensao,,,
109,extensao,,,
110,extensao,,,
111,extensao,,,
112,extensao,,,
113,extensao,,,
114,extensao,,,
115,extensao,,,
116,extensao,,,
117,extensao,,,
118,extensao,,,
119,extensao,,,
120,extensao,,,
121,extensao,,,
122,extensao,,,
123,extensao,,,
124,extensao,,,
125,extensao,,,
126,extensao,,,
127,extensao,,,
128,extensao,,,
129,extensao,,,
130,extensao,,,
131,extensao,,,
132,extensao,,,
133,extensao,,,
134,extensao,,,
135,extensao,,,
136,extensao,,,
137,extensao,,,
138,extensao,,,
139,extensao,,,
140,extensao,,,
141,extensao,,,
142,extensao,,,
143,extensao,,,
144,extensao,,,
145,extensao,,,
146,extensao,,,
147,extensao,,,
148,extensao,,,
149,extensao,,,
150,extensao,,,
151,extensao,,,
152,extensao,,,
153,extensao,,,
154,extensao,,,
155,extensao,,,
156,extensao,,,
157,extensao,,,
158,extensao,,,
159,extensao,,,
160,extensao,,,
161,extensao,,,
162,extensao,,,
163,extensao,,,
164,extensao,,,
165,extensao,,,
166,extensao,,,
167,extensao,,,
168,extensao,,,
169,extensao,,,
170,extensao,,,
171,extensao,,,
172,extensao,,,
173,extensao,,,
174,extensao,,,
175,extensao,,,
176,extensao,,,
177,extensao,,,
178,extensao,,,
179,extensao,,,
180,extensao,,,
181,extensao,,,
182,extensao,,,
183,extensao,,,
184,extensao,,,
185,extensao,,,
186,extensao,,,
187,extensao,,,
188,extensao,,,
189,extensao,,,
190,extensao,,,
191,extensao,,,
192,extensao,,,
193,extensao,,,
194,extensao,,,
195,extensao,,,
196,extensao,,,
197,extensao,,,
198,extensao,,,
199,extensao,,,
