indice,fase,repeat,sample,regression
0,replay,100.00,100.00,100.00
1,replay,100.00,100.00,100.00
2,replay,97.80,97.80,97.80
3,replay,97.40,97.40,97.40
4,replay,98.80,98.80,98.80
5,replay,98.20,98.20,98.20
6,replay,98.20,98.20,98.20
7,replay,98.35,98.35,98.35
8,replay,96.20,96.20,96.20
9,replay,94.95,94.95,94.95
10,replay,96.65,96.65,96.65
11,replay,98.05,98.05,98.05
12,replay,98.80,98.80,98.80
13,replay,99.25,99.25,99.25
14,replay,99.75,99.75,99.75
15,replay,100.00,100.00,100.00
16,replay,99.75,99.75,99.75
17,replay,99.30,99.30,99.30
18,replay,99.55,99.55,99.55
19,replay,99.75,99.75,99.75
20,replay,98.75,98.75,98.75
21,replay,99.00,99.00,99.00
22,replay,97.85,97.85,97.85
23,replay,88.90,88.90,88.90
24,replay,83.20,83.20,83.20
25,replay,83.40,83.40,83.40
26,replay,80.15,80.15,80.15
27,replay,79.45,79.45,79.45
28,replay,80.45,80.45,80.45
29,replay,80.30,80.30,80.30
30,replay,81.95,81.95,81.95
31,replay,83.30,83.30,83.30
32,replay,80.55,80.55,80.55
33,replay,81.80,81.80,81.80
34,replay,84.20,84.20,84.20
35,replay,81.90,81.90,81.90
36,replay,83.55,83.55,83.55
37,replay,83.10,83.10,83.10
38,replay,77.65,77.65,77.65
39,replay,76.25,76.25,76.25
40,replay,80.80,80.80,80.80
41,replay,84.60,84.60,84.60
42,replay,88.60,88.60,88.60
43,replay,95.30,95.30,95.30
44,replay,98.75,98.75,98.75
45,replay,98.00,98.00,98.00
46,replay,95.45,95.45,95.45
47,replay,94.80,94.80,94.80
48,replay,96.25,96.25,96.25
49,replay,97.15,97.15,97.15
50,replay,97.50,97.50,97.50
51,replay,97.00,97.00,97.00
52,replay,97.05,97.05,97.05
53,replay,97.30,97.30,97.30
54,replay,94.70,94.70,94.70
55,replay,91.40,91.40,91.40
56,replay,88.10,88.10,88.10
57,replay,82.15,82.15,82.15
58,replay,80.85,80.85,80.85
59,replay,84.25,84.25,84.25
60,replay,87.70,87.70,87.70
61,replay,86.90,86.90,86.90
62,replay,82.35,82.35,82.35
63,replay,79.80,79.80,79.80
64,replay,81.75,81.75,81.75
65,replay,91.45,91.45,91.45
66,replay,98.55,98.55,98.55
67,replay,98.50,98.50,98.50
68,replay,97.85,97.85,97.85
69,replay,96.85,96.85,96.85
70,replay,96.55,96.55,96.55
71,replay,97.15,97.15,97.15
72,replay,96.15,96.15,96.15
73,replay,96.95,96.95,96.95
74,replay,98.75,98.75,98.75
75,replay,99.25,99.25,99.25
76,replay,99.35,99.35,99.35
77,replay,98.55,98.55,98.55
78,replay,89.85,89.85,89.85
79,replay,80.60,80.60,80.60
80,replay,81.00,81.00,81.00
81,replay,87.10,87.10,87.10
82,replay,86.05,86.05,86.05
83,replay,81.50,81.50,81.50
84,replay,82.00,82.00,82.00
85,replay,90.55,90.55,90.55
86,replay,98.15,98.15,98.15
87,replay,88.70,88.70,88.70
88,replay,83.05,83.05,83.05
89,replay,85.40,85.40,85.40
90,replay,88.40,88.40,88.40
91,replay,91.15,91.15,91.15
92,replay,90.85,90.85,90.85
93,replay,86.45,86.45,86.45
94,replay,88.65,88.65,88.65
95,replay,97.40,97.40,97.40
96,replay,99.80,99.80,99.80
97,replay,99.80,99.80,99.80
98,replay,100.00,100.00,100.00
99,replay,99.10,99.10,99.10
100,extensao,,,
101,extensao,,,
102,extensao,,,
103,extensao,,,
104,extensao,,,
105,extensao,,,
106,extensao,,,
107,extensao,,,
108,extensao,,,
109,extensao,,,
110,extensao,,,
111,extensao,,,
112,extensao,,,
113,extensao,,,
114,extensao,,,
115,extensao,,,
116,extensao,,,
117,extensao,,,
118,extensao,,,
119,extensao,,,
120,extensao,,,
121,extensao,,,
122,extensao,,,
123,extensao,,,
124,extensao,,,
125,extensao,,,
126,extensao,,,
127,extensao,,,
128,extensao,,,
129,extensao,,,
130,extensao,,,
131,extensao,,,
132,extensao,,,
133,extensao,,,
134,extensao,,,
135,extensao,,,
136,extensao,,,
137,extensao,,,
138,extensao,,,
139,extensao,,,
140,extensao,,,
141,extensao,,,
142,extensao,,,
143,extensao,,,
144,extensao,,,
145,extensao,,,
146,extensao,,,
147,extensao,,,
148,extensao,,,
149,extensao,,,
150,extensao,,,
151,extensao,,,
152,extensao,,,
153,extensao,,,
154,extensao,,,
155,extensao,,,
156,extensao,,,
157,extensao,,,
158,extensao,,,
159,extensao,,,
160,extensao,,,
161,extensao,,,
162,extensao,,,
163,extensao,,,
164,extensao,,,
165,extensao,,,
166,extensao,,,
167,extensao,,,
168,extensao,,,
169,extensao,,,
170,extensao,,,
171,extensao,,,
172,extensao,,,
173,extensao,,,
174,extensao,,,
175,extensao,,,
176,extensao,,,
177,extensao,,,
178,extensao,,,
179,extensao,,,
180,extensao,,,
181,extensao,,,
182,extensao,,,
183,extensao,,,
184,extensao,,,
185,extensao,,,
186,extensao,,,
187,extensao,,,
188,extensao,,,
189,extensao,,,
190,extensao,,,
191,extensao,,,
192,extensao,,,
193,extensao,,,
194,extensao,,,
195,extensao,,,
196,extensao,,,
197,extensao,,,
198,extensao,,,
199,extensao,,,
